type,src,dst
"edge","e4","e5"
"edge","e3","e6"
"edge","e3","e7"
"edge","e1","e8"
"edge","e5","e9"
"edge","e8","e10"
"edge","e5","e11"
"edge","e1","e12"
"edge","e3","e12"
"edge","e6","e13"
"edge","e1","e14"
"edge","e3","e14"
"edge","e7","e15"
"edge","e7","e16"
"edge","e1","e17"
"edge","e2","e17"
"edge","e2","e18"
"edge","e3","e18"
"edge","e2","e19"
"edge","e6","e19"
"edge","e2","e20"
"edge","e6","e20"
"edge","e10","e21"
"edge","e6","e22"
"edge","e7","e22"
"edge","e6","e23"
"edge","e7","e23"
"edge","e12","e24"
"edge","e13","e25"
"edge","e14","e26"
"edge","e14","e27"
"edge","e15","e28"
"edge","e18","e29"
"edge","e16","e30"
"edge","e17","e31"
"edge","e17","e32"
"edge","e18","e33"
"edge","e19","e34"
"edge","e2","e35"
"edge","e6","e35"
"edge","e7","e35"
"edge","e2","e36"
"edge","e12","e36"
"edge","e2","e37"
"edge","e13","e37"
"edge","e2","e38"
"edge","e12","e38"
"edge","e6","e39"
"edge","e16","e39"
"edge","e32","e40"
"edge","e30","e41"
"edge","e30","e42"
"edge","e12","e43"
"edge","e14","e43"
"edge","e12","e44"
"edge","e14","e44"
"edge","e22","e45"
"edge","e24","e46"
"edge","e31","e47"
"edge","e26","e48"
"edge","e31","e49"
"edge","e30","e50"
"edge","e27","e51"
"edge","e29","e52"
"edge","e28","e53"
"edge","e29","e54"
"edge","e2","e55"
"edge","e16","e55"
"edge","e19","e56"
"edge","e20","e56"
"edge","e37","e57"
"edge","e34","e58"
"edge","e2","e59"
"edge","e12","e59"
"edge","e14","e59"
"edge","e2","e60"
"edge","e22","e60"
"edge","e2","e61"
"edge","e24","e61"
"edge","e12","e62"
"edge","e27","e62"
"edge","e42","e63"
"edge","e53","e64"
"edge","e55","e65"
"edge","e51","e66"
"edge","e53","e67"
"edge","e55","e68"
"edge","e43","e69"
"edge","e50","e70"
"edge","e6","e71"
"edge","e29","e71"
"edge","e45","e72"
"edge","e16","e73"
"edge","e23","e73"
"edge","e47","e74"
"edge","e50","e75"
"edge","e49","e76"
"edge","e53","e77"
"edge","e48","e78"
"edge","e49","e79"
"edge","e55","e80"
"edge","e2","e81"
"edge","e27","e81"
"edge","e52","e82"
"edge","e2","e83"
"edge","e28","e83"
"edge","e56","e84"
"edge","e56","e85"
"edge","e36","e86"
"edge","e38","e86"
"edge","e20","e87"
"edge","e37","e87"
"edge","e2","e88"
"edge","e43","e88"
"edge","e30","e89"
"edge","e39","e89"
"edge","e67","e90"
"edge","e68","e91"
"edge","e72","e92"
"edge","e83","e93"
"edge","e72","e94"
"edge","e73","e95"
"edge","e78","e96"
"edge","e81","e97"
