id,type,name,tokens,cutoff
"e1","event","R11",,"0"
"e2","event","R19",,"0"
"e3","event","R21",,"0"
"e4","event","R22",,"0"
"e5","event","R3",,"0"
"e6","event","R9",,"0"
"e7","event","R10",,"0"
"e8","event","R22",,"0"
"e9","event","R9",,"0"
"e10","event","R3",,"0"
"e11","event","R11",,"0"
"e12","event","R9",,"0"
"e13","event","R12",,"0"
"e14","event","R10",,"0"
"e15","event","R12",,"0"
"e16","event","R22",,"0"
"e17","event","R17",,"0"
"e18","event","R17",,"0"
"e19","event","R1",,"0"
"e20","event","R2",,"0"
"e21","event","R9",,"0"
"e22","event","R12",,"0"
"e23","event","R21",,"0"
"e24","event","R12",,"0"
"e25","event","R22",,"0"
"e26","event","R12",,"0"
"e27","event","R22",,"0"
"e28","event","R22",,"0"
"e29","event","R10",,"0"
"e30","event","R18",,"0"
"e31","event","R21",,"0"
"e32","event","R22",,"0"
"e33","event","R22",,"0"
"e34","event","R5",,"0"
"e35","event","R1",,"0"
"e36","event","R1",,"0"
"e37","event","R1",,"0"
"e38","event","R2",,"0"
"e39","event","R3",,"0"
"e40","event","R3",,"0"
"e41","event","R5",,"0"
"e42","event","R6",,"0"
"e43","event","R12",,"0"
"e44","event","R21",,"0"
"e45","event","R22",,"0"
"e46","event","R22",,"0"
"e47","event","R9",,"0"
"e48","event","R22",,"0"
"e49","event","R10",,"0"
"e50","event","R11",,"0"
"e51","event","R18",,"0"
"e52","event","R12",,"0"
"e53","event","R18",,"0"
"e54","event","R22",,"0"
"e55","event","R18",,"0"
"e56","event","R18",,"0"
"e57","event","R4",,"0"
"e58","event","R12",,"0"
"e59","event","R1",,"0"
"e60","event","R1",,"0"
"e61","event","R1",,"0"
"e62","event","R3",,"0"
"e63","event","R5",,"0"
"e64","event","R5",,"0"
"e65","event","R5",,"0"
"e66","event","R6",,"0"
"e67","event","R6",,"0"
"e68","event","R6",,"0"
"e69","event","R22",,"0"
"e70","event","R9",,"0"
"e71","event","R12",,"0"
"e72","event","R18",,"0"
"e73","event","R18",,"0"
"e74","event","R12",,"0"
"e75","event","R10",,"0"
"e76","event","R12",,"0"
"e77","event","R11",,"0"
"e78","event","R18",,"0"
"e79","event","R22",,"0"
"e80","event","R11",,"0"
"e81","event","R18",,"0"
"e82","event","R22",,"0"
"e83","event","R18",,"0"
"e84","event","R5",,"0"
"e85","event","R6",,"0"
"e86","event","R18",,"0"
"e87","event","R18",,"0"
"e88","event","R1",,"0"
"e89","event","R5",,"0"
"e90","event","R5",,"0"
"e91","event","R5",,"0"
"e92","event","R5",,"0"
"e93","event","R5",,"0"
"e94","event","R6",,"0"
"e95","event","R6",,"0"
"e96","event","R6",,"0"
"e97","event","R6",,"0"
"e98","event","R6",,"0"
"e99","event","R12",,"0"
"e100","event","R12",,"0"
"e101","event","R18",,"0"
"e102","event","R9",,"0"
"e103","event","R18",,"0"
"e104","event","R12",,"0"
"e105","event","R10",,"0"
"e106","event","R22",,"0"
"e107","event","R11",,"0"
"e108","event","R18",,"0"
"e109","event","R5",,"0"
"e110","event","R12",,"0"
"e111","event","R6",,"0"
"e112","event","R6",,"0"
"e113","event","R18",,"0"
"e114","event","R2",,"0"
"e115","event","R5",,"0"
"e116","event","R15",,"0"
"e117","event","R5",,"0"
"e118","event","R5",,"0"
"e119","event","R6",,"0"
"e120","event","R6",,"0"
"e121","event","R6",,"0"
"e122","event","R12",,"0"
"e123","event","R12",,"0"
"e124","event","R12",,"0"
"e125","event","R12",,"0"
"e126","event","R6",,"0"
"e127","event","R12",,"0"
"e128","event","R7",,"1"
"e129","event","R4",,"1"
"e130","event","R7",,"1"
"e131","event","R4",,"1"
