id,type,name,tokens,cutoff
"c1","condition","rp+_2","0",
"c2","condition","wk-_2","0",
"c3","condition","fg+","0",
"c4","condition","te+","0",
"c5","condition","ec+","0",
"c6","condition","rp+_1","0",
"c7","condition","wd+","0",
"c8","condition","sd+","0",
"c9","condition","wk-_1","0",
"c10","condition","wk+_3","1",
"c11","condition","wk+_2","1",
"c12","condition","fg-","1",
"c13","condition","te-","1",
"c14","condition","ec-","1",
"c15","condition","rp-","1",
"c16","condition","ac+","1",
"c17","condition","wd-","1",
"c18","condition","sd-","1",
"c19","condition","wk+_1","1",
"c20","condition","fg+","1",
"c21","condition","te+","1",
"c22","condition","ec+","1",
"c23","condition","wd+","1",
"c24","condition","wk+_1","1",
"c25","condition","fg-","0",
"c26","condition","te-","0",
"c27","condition","ec-","0",
"c28","condition","wd-","0",
"c29","condition","te-","1",
"c30","condition","wk-_2","1",
"c31","condition","wk-_1","1",
"c32","condition","wd-","1",
"c33","condition","wk+_3","0",
"c34","condition","wk+_2","0",
"c35","condition","te+","0",
"c36","condition","wk+_1","0",
"c37","condition","rp-","1",
"c38","condition","ac+","1",
"c39","condition","sd-","1",
"c40","condition","wk-_2","1",
"c41","condition","wk-_1","1",
"c42","condition","rp+_2","0",
"c43","condition","wk+_3","0",
"c44","condition","wk+_2","0",
"c45","condition","rp+_1","0",
"c46","condition","wk+_1","0",
"c47","condition","sd+","1",
"c48","condition","rp+_2","1",
"c49","condition","rp+_1","1",
"c50","condition","wd+","1",
"c51","condition","wk+_3","1",
"c52","condition","rp-","0",
"c53","condition","sd-","0",
"c54","condition","wk+_2","1",
"c55","condition","te+","1",
"c56","condition","wd-","1",
"c57","condition","wd+","0",
"c58","condition","rp-","1",
"c59","condition","ac+","1",
"c60","condition","sd-","1",
"c61","condition","wk-_2","1",
"c62","condition","wk-_1","1",
"c63","condition","rp+_2","0",
"c64","condition","wk+_3","0",
"c65","condition","wk+_2","0",
"c66","condition","rp+_1","0",
"c67","condition","wk+_1","0",
"c68","condition","fg-","1",
"c69","condition","te-","1",
"c70","condition","sd-","1",
"c71","condition","wk-_1","1",
"c72","condition","fg+","0",
"c73","condition","te+","0",
"c74","condition","sd+","0",
"c75","condition","wk-_2","1",
"c76","condition","ec-","1",
"c77","condition","rp-","1",
"c78","condition","ec+","0",
"c79","condition","rp-","1",
"c80","condition","ac+","1",
"c81","condition","sd-","1",
"c82","condition","wk-_2","1",
"c83","condition","wk-_1","1",
"c84","condition","rp+_2","0",
"c85","condition","wk+_3","0",
"c86","condition","wk+_2","0",
"c87","condition","rp+_1","0",
"c88","condition","wk+_1","0",
"c89","condition","ec+","1",
"c90","condition","rp+_2","1",
"c91","condition","ec-","0",
"c92","condition","wk+_3","1",
"c93","condition","wk+_2","1",
"c94","condition","wk+_1","1",
"c95","condition","ec+","1",
"c96","condition","rp+_1","1",
"c97","condition","wk-_2","0",
"c98","condition","wk-_1","0",
"c99","condition","fg+","1",
"c100","condition","te+","1",
"c101","condition","ec+","1",
"c102","condition","wd+","1",
"c103","condition","wk+_1","1",
"c104","condition","fg-","0",
"c105","condition","te-","0",
"c106","condition","ec-","0",
"c107","condition","wd-","0",
"c108","condition","fg+","1",
"c109","condition","te+","1",
"c110","condition","ec+","1",
"c111","condition","wd+","1",
"c112","condition","wk+_1","1",
"c113","condition","fg-","0",
"c114","condition","te-","0",
"c115","condition","ec-","0",
"c116","condition","wd-","0",
"c117","condition","wk+_2","1",
"c118","condition","te+","1",
"c119","condition","wd-","1",
"c120","condition","wd+","0",
"c121","condition","te-","1",
"c122","condition","wk-_2","1",
"c123","condition","wk-_1","1",
"c124","condition","wd-","1",
"c125","condition","wk+_3","0",
"c126","condition","wk+_2","0",
"c127","condition","te+","0",
"c128","condition","wk+_1","0",
"c129","condition","rp-","1",
"c130","condition","ac+","1",
"c131","condition","sd-","1",
"c132","condition","wk-_2","1",
"c133","condition","wk-_1","1",
"c134","condition","rp+_2","0",
"c135","condition","wk+_3","0",
"c136","condition","wk+_2","0",
"c137","condition","rp+_1","0",
"c138","condition","wk+_1","0",
"c139","condition","fg-","1",
"c140","condition","te-","1",
"c141","condition","sd-","1",
"c142","condition","wk-_1","1",
"c143","condition","fg+","0",
"c144","condition","te+","0",
"c145","condition","sd+","0",
"c146","condition","wk-_2","1",
"c147","condition","ec-","1",
"c148","condition","rp-","1",
"c149","condition","ec+","0",
"c150","condition","wk+_3","1",
"c151","condition","wk+_2","1",
"c152","condition","wk+_1","1",
"c153","condition","ec+","1",
"c154","condition","rp+_1","1",
"c155","condition","wk-_2","0",
"c156","condition","wk-_1","0",
"c157","condition","fg+","1",
"c158","condition","te+","1",
"c159","condition","ec+","1",
"c160","condition","wd+","1",
"c161","condition","wk+_1","1",
"c162","condition","fg-","0",
"c163","condition","te-","0",
"c164","condition","ec-","0",
"c165","condition","wd-","0",
"c166","condition","te-","1",
"c167","condition","wk-_2","1",
"c168","condition","wk-_1","1",
"c169","condition","wd-","1",
"c170","condition","wk+_3","0",
"c171","condition","wk+_2","0",
"c172","condition","te+","0",
"c173","condition","wk+_1","0",
"c174","condition","fg-","1",
"c175","condition","te-","1",
"c176","condition","sd-","1",
"c177","condition","wk-_1","1",
"c178","condition","fg+","0",
"c179","condition","te+","0",
"c180","condition","sd+","0",
"c181","condition","wk-_2","1",
"c182","condition","ec-","1",
"c183","condition","rp-","1",
"c184","condition","ec+","0",
"c185","condition","rp-","1",
"c186","condition","ac+","1",
"c187","condition","sd-","1",
"c188","condition","wk-_2","1",
"c189","condition","wk-_1","1",
"c190","condition","rp+_2","0",
"c191","condition","wk+_3","0",
"c192","condition","wk+_2","0",
"c193","condition","rp+_1","0",
"c194","condition","wk+_1","0",
"c195","condition","te-","1",
"c196","condition","wk-_2","1",
"c197","condition","wk-_1","1",
"c198","condition","wd-","1",
"c199","condition","wk+_3","0",
"c200","condition","wk+_2","0",
"c201","condition","te+","0",
"c202","condition","wk+_1","0",
"c203","condition","fg-","1",
"c204","condition","te-","1",
"c205","condition","sd-","1",
"c206","condition","wk-_1","1",
"c207","condition","fg+","0",
"c208","condition","te+","0",
"c209","condition","sd+","0",
"c210","condition","wk-_2","1",
"c211","condition","ec-","1",
"c212","condition","rp-","1",
"c213","condition","ec+","0",
"c214","condition","rp-","1",
"c215","condition","ac+","1",
"c216","condition","sd-","1",
"c217","condition","wk-_2","1",
"c218","condition","wk-_1","1",
"c219","condition","rp+_2","0",
"c220","condition","wk+_3","0",
"c221","condition","wk+_2","0",
"c222","condition","rp+_1","0",
"c223","condition","wk+_1","0",
"c224","condition","rp-","1",
"c225","condition","ac+","1",
"c226","condition","sd-","1",
"c227","condition","wk-_2","1",
"c228","condition","wk-_1","1",
"c229","condition","rp+_2","0",
"c230","condition","wk+_3","0",
"c231","condition","wk+_2","0",
"c232","condition","rp+_1","0",
"c233","condition","wk+_1","0",
"c234","condition","wk+_3","1",
"c235","condition","wk+_2","1",
"c236","condition","wk+_1","1",
"c237","condition","ec+","1",
"c238","condition","rp+_1","1",
"c239","condition","wk-_2","0",
"c240","condition","wk-_1","0",
"c241","condition","fg-","1",
"c242","condition","te-","1",
"c243","condition","sd-","1",
"c244","condition","wk-_1","1",
"c245","condition","fg+","0",
"c246","condition","te+","0",
"c247","condition","sd+","0",
"c248","condition","te-","1",
"c249","condition","wk-_2","1",
"c250","condition","wk-_1","1",
"c251","condition","wd-","1",
"c252","condition","wk+_3","0",
"c253","condition","wk+_2","0",
"c254","condition","te+","0",
"c255","condition","wk+_1","0",
"c256","condition","te-","1",
"c257","condition","wk-_2","1",
"c258","condition","wk-_1","1",
"c259","condition","wd-","1",
"c260","condition","wk+_3","0",
"c261","condition","wk+_2","0",
"c262","condition","te+","0",
"c263","condition","wk+_1","0",
"c264","condition","rp-","1",
"c265","condition","ac+","1",
"c266","condition","sd-","1",
"c267","condition","wk-_2","1",
"c268","condition","wk-_1","1",
"c269","condition","rp+_2","0",
"c270","condition","wk+_3","0",
"c271","condition","wk+_2","0",
"c272","condition","rp+_1","0",
"c273","condition","wk+_1","0",
"c274","condition","rp-","1",
"c275","condition","ac+","1",
"c276","condition","sd-","1",
"c277","condition","wk-_2","1",
"c278","condition","wk-_1","1",
"c279","condition","rp+_2","0",
"c280","condition","wk+_3","0",
"c281","condition","wk+_2","0",
"c282","condition","rp+_1","0",
"c283","condition","wk+_1","0",
"c284","condition","te-","1",
"c285","condition","wk-_2","1",
"c286","condition","wk-_1","1",
"c287","condition","wd-","1",
"c288","condition","wk+_3","0",
"c289","condition","wk+_2","0",
"c290","condition","te+","0",
"c291","condition","wk+_1","0",
"c292","condition","rp-","1",
"c293","condition","ac+","1",
"c294","condition","sd-","1",
"c295","condition","wk-_2","1",
"c296","condition","wk-_1","1",
"c297","condition","rp+_2","0",
"c298","condition","wk+_3","0",
"c299","condition","wk+_2","0",
"c300","condition","rp+_1","0",
"c301","condition","wk+_1","0",
"c302","condition","rp-","1",
"c303","condition","ac+","1",
"c304","condition","sd-","1",
"c305","condition","wk-_2","1",
"c306","condition","wk-_1","1",
"c307","condition","rp+_2","0",
"c308","condition","wk+_3","0",
"c309","condition","wk+_2","0",
"c310","condition","rp+_1","0",
"c311","condition","wk+_1","0",
"c312","condition","ec+","1",
"c313","condition","rp+_2","1",
"c314","condition","ec-","0",
"c315","condition","fg+","1",
"c316","condition","te+","1",
"c317","condition","ec+","1",
"c318","condition","wd+","1",
"c319","condition","wk+_1","1",
"c320","condition","fg-","0",
"c321","condition","te-","0",
"c322","condition","ec-","0",
"c323","condition","wd-","0",
"c324","condition","te-","1",
"c325","condition","wk-_2","1",
"c326","condition","wk-_1","1",
"c327","condition","wd-","1",
"c328","condition","wk+_3","0",
"c329","condition","wk+_2","0",
"c330","condition","te+","0",
"c331","condition","wk+_1","0",
"c332","condition","wk+_3","1",
"c333","condition","wk+_2","1",
"c334","condition","wk+_1","1",
"c335","condition","ec+","1",
"c336","condition","rp+_1","1",
"c337","condition","wk-_2","0",
"c338","condition","wk-_1","0",
"c339","condition","te-","1",
"c340","condition","wk-_2","1",
"c341","condition","wk-_1","1",
"c342","condition","wd-","1",
"c343","condition","wk+_3","0",
"c344","condition","wk+_2","0",
"c345","condition","te+","0",
"c346","condition","wk+_1","0",
"c347","condition","rp-","1",
"c348","condition","ac+","1",
"c349","condition","sd-","1",
"c350","condition","wk-_2","1",
"c351","condition","wk-_1","1",
"c352","condition","rp+_2","0",
"c353","condition","wk+_3","0",
"c354","condition","wk+_2","0",
"c355","condition","rp+_1","0",
"c356","condition","wk+_1","0",
"c357","condition","te-","1",
"c358","condition","wk-_2","1",
"c359","condition","wk-_1","1",
"c360","condition","wd-","1",
"c361","condition","wk+_3","0",
"c362","condition","wk+_2","0",
"c363","condition","te+","0",
"c364","condition","wk+_1","0",
"c365","condition","rp-","1",
"c366","condition","ac+","1",
"c367","condition","sd-","1",
"c368","condition","wk-_2","1",
"c369","condition","wk-_1","1",
"c370","condition","rp+_2","0",
"c371","condition","wk+_3","0",
"c372","condition","wk+_2","0",
"c373","condition","rp+_1","0",
"c374","condition","wk+_1","0",
"c375","condition","fg-","1",
"c376","condition","te-","1",
"c377","condition","sd-","1",
"c378","condition","wk-_1","1",
"c379","condition","fg+","0",
"c380","condition","te+","0",
"c381","condition","sd+","0",
"c382","condition","wk-_2","1",
