type,src,dst
"edge","e1","e3"
"edge","e1","e4"
"edge","e1","e5"
"edge","e3","e6"
"edge","e4","e7"
"edge","e4","e8"
"edge","e5","e9"
"edge","e5","e10"
"edge","e6","e11"
"edge","e7","e12"
"edge","e7","e13"
"edge","e8","e14"
"edge","e11","e15"
"edge","e11","e16"
"edge","e9","e17"
"edge","e10","e17"
"edge","e16","e18"
"edge","e18","e19"
"edge","e19","e20"
"edge","e20","e21"
"edge","e21","e22"
"edge","e22","e23"
"edge","e22","e24"
"edge","e22","e25"
"edge","e22","e26"
"edge","e21","e27"
"edge","e21","e28"
"edge","e20","e29"
"edge","e20","e30"
"edge","e20","e31"
"edge","e19","e32"
"edge","e19","e33"
"edge","e19","e34"
"edge","e19","e35"
"edge","e18","e36"
"edge","e18","e37"
"edge","e18","e38"
"edge","e17","e39"
"edge","e17","e40"
"edge","e12","e41"
"edge","e13","e41"
"edge","e12","e42"
"edge","e13","e42"
"edge","e16","e43"
"edge","e16","e44"
"edge","e15","e45"
"edge","e15","e46"
"edge","e15","e47"
"edge","e14","e48"
"edge","e14","e49"
"edge","e13","e50"
"edge","e12","e51"
"edge","e13","e52"
"edge","e12","e53"
"edge","e10","e54"
"edge","e9","e55"
"edge","e8","e56"
"edge","e8","e57"
"edge","e7","e58"
"edge","e6","e59"
"edge","e6","e60"
"edge","e4","e61"
"edge","e3","e62"
"edge","e3","e63"
"edge","e3","e64"
"edge","e2","e65"
"edge","e2","e66"
"edge","e2","e67"
"edge","e0","e1"
"edge","e0","e2"
"edge","e0","e68"
"conflict","e1","e2"
"conflict","e1","e68"
"conflict","e2","e68"
"conflict","e3","e4"
"conflict","e3","e5"
"conflict","e4","e5"
"conflict","e6","e62"
"conflict","e6","e63"
"conflict","e7","e8"
"conflict","e7","e61"
"conflict","e8","e61"
"conflict","e9","e54"
"conflict","e10","e55"
"conflict","e11","e59"
"conflict","e11","e60"
"conflict","e12","e50"
"conflict","e12","e52"
"conflict","e12","e58"
"conflict","e13","e51"
"conflict","e13","e53"
"conflict","e13","e58"
"conflict","e14","e57"
"conflict","e15","e16"
"conflict","e15","e64"
"conflict","e18","e43"
"conflict","e18","e44"
"conflict","e18","e64"
"conflict","e19","e36"
"conflict","e19","e37"
"conflict","e19","e38"
"conflict","e20","e32"
"conflict","e20","e33"
"conflict","e20","e34"
"conflict","e21","e29"
"conflict","e21","e30"
"conflict","e21","e31"
"conflict","e22","e27"
"conflict","e22","e28"
"conflict","e22","e35"
"conflict","e23","e24"
"conflict","e23","e25"
"conflict","e23","e26"
"conflict","e24","e25"
"conflict","e25","e26"
"conflict","e27","e28"
"conflict","e27","e35"
"conflict","e29","e30"
"conflict","e29","e31"
"conflict","e29","e35"
"conflict","e30","e31"
"conflict","e30","e35"
"conflict","e31","e35"
"conflict","e32","e33"
"conflict","e32","e34"
"conflict","e32","e35"
"conflict","e33","e34"
"conflict","e33","e35"
"conflict","e34","e35"
"conflict","e36","e37"
"conflict","e36","e38"
"conflict","e41","e42"
"conflict","e43","e44"
"conflict","e43","e64"
"conflict","e45","e46"
"conflict","e46","e47"
"conflict","e48","e49"
"conflict","e48","e56"
"conflict","e49","e56"
"conflict","e50","e52"
"conflict","e51","e53"
"conflict","e56","e57"
"conflict","e59","e60"
"conflict","e59","e64"
"conflict","e60","e64"
"conflict","e62","e63"
"conflict","e62","e64"
"conflict","e63","e64"
"conflict","e65","e66"
"conflict","e65","e67"
