id,type,name,tokens,cutoff
"e1","event","R3",,"0"
"e2","event","R6",,"0"
"e3","event","R4",,"0"
"e4","event","R5",,"0"
"e5","event","R9",,"0"
"e6","event","R5",,"0"
"e7","event","R6",,"0"
"e8","event","R9",,"0"
"e9","event","R7",,"0"
"e10","event","R8",,"0"
"e11","event","R6",,"0"
"e12","event","R7",,"0"
"e13","event","R8",,"0"
"e14","event","R8",,"0"
"e15","event","R2",,"0"
"e16","event","R7",,"0"
"e17","event","R9",,"0"
"e18","event","R2",,"0"
"e19","event","R3",,"0"
"e20","event","R5",,"0"
"e21","event","R6",,"0"
"e22","event","R2",,"0"
"e23","event","R9",,"1"
"e24","event","R6",,"1"
"e25","event","R3",,"1"
"e26","event","R1",,"1"
"e27","event","R9",,"1"
"e28","event","R7",,"1"
"e29","event","R9",,"1"
"e30","event","R3",,"1"
"e31","event","R2",,"1"
"e32","event","R9",,"1"
"e33","event","R4",,"1"
"e34","event","R2",,"1"
"e35","event","R1",,"1"
"e36","event","R9",,"1"
"e37","event","R6",,"1"
"e38","event","R1",,"1"
"e39","event","R8",,"1"
"e40","event","R7",,"1"
"e41","event","R9",,"1"
"e42","event","R6",,"1"
"e43","event","R9",,"1"
"e44","event","R6",,"1"
"e45","event","R6",,"1"
"e46","event","R3",,"1"
"e47","event","R1",,"1"
"e48","event","R9",,"1"
"e49","event","R6",,"1"
"e50","event","R9",,"1"
"e51","event","R9",,"1"
"e52","event","R6",,"1"
"e53","event","R6",,"1"
"e54","event","R9",,"1"
"e55","event","R9",,"1"
"e56","event","R7",,"1"
"e57","event","R6",,"1"
"e58","event","R9",,"1"
"e59","event","R3",,"1"
"e60","event","R2",,"1"
"e61","event","R3",,"1"
"e62","event","R3",,"1"
"e63","event","R2",,"1"
"e64","event","R1",,"1"
"e65","event","R9",,"1"
"e66","event","R8",,"1"
"e67","event","R7",,"1"
"e68","event","R9",,"1"
